sample,group,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR21835896,C,SAMN31202995,NT3,RNA-seq of Staphylococcus aureus: control biological replicate 3,2022-10-08,South Korea,Staphylococcus aureus,606028112;625941698,3182417484,15754542,NT3,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,RNA-seq of Staphylococcus aureus,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/096/SRR21835896/SRR21835896_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/096/SRR21835896/SRR21835896_2.fastq.gz']","606 MB, 626 MB files; 15.8 million reads; 3182.4 million sequenced bases"
SRR21835897,C,SAMN31202994,NT2,RNA-seq of Staphylococcus aureus: control biological replicate 2,2022-10-08,South Korea,Staphylococcus aureus,615018541;624518593,3139666406,15542903,NT2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,RNA-seq of Staphylococcus aureus,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/097/SRR21835897/SRR21835897_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/097/SRR21835897/SRR21835897_2.fastq.gz']","615 MB, 625 MB files; 15.5 million reads; 3139.7 million sequenced bases"
SRR21835900,T,SAMN31202991,NaP2,RNA-seq of Staphylococcus aureus: sodium propionate treatment biological replicate 2,2022-10-08,South Korea,Staphylococcus aureus,649845379;662858375,3193920778,15811489,NaP2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,RNA-seq of Staphylococcus aureus,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/000/SRR21835900/SRR21835900_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/000/SRR21835900/SRR21835900_2.fastq.gz']","650 MB, 663 MB files; 15.8 million reads; 3193.9 million sequenced bases"
SRR21835901,T,SAMN31202990,NaP1,RNA-seq of Staphylococcus aureus: sodium propionate treatment biological replicate 1,2022-10-08,South Korea,Staphylococcus aureus,634180568;649399089,3127728610,15483805,NaP1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,RNA-seq of Staphylococcus aureus,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/001/SRR21835901/SRR21835901_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/001/SRR21835901/SRR21835901_2.fastq.gz']","634 MB, 649 MB files; 15.5 million reads; 3127.7 million sequenced bases"
SRR21835898,C,SAMN31202993,NT1,RNA-seq of Staphylococcus aureus: control biological replicate 1,2022-10-08,South Korea,Staphylococcus aureus,609324908;620557935,3159678142,15641971,NT1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,RNA-seq of Staphylococcus aureus,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/098/SRR21835898/SRR21835898_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/098/SRR21835898/SRR21835898_2.fastq.gz']","609 MB, 621 MB files; 15.6 million reads; 3159.7 million sequenced bases"
SRR21835899,T,SAMN31202992,NaP3,RNA-seq of Staphylococcus aureus: sodium propionate treatment biological replicate 3,2022-10-08,South Korea,Staphylococcus aureus,652827406;664053638,3210044620,15891310,NaP3,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,RNA-seq of Staphylococcus aureus,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/099/SRR21835899/SRR21835899_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/099/SRR21835899/SRR21835899_2.fastq.gz']","653 MB, 664 MB files; 15.9 million reads; 3210.0 million sequenced bases"
