name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,SRR21835898,SRR21835899,SRR21835900,SRR21835896,SRR21835897,SRR21835901
SAUSA300_RS15100,SAUSA300_RS15100,569,225.3,343.7,1.53,0.6,3.0e-02,1.5e-01,0.1488,0,190,239,247,434,275,322
SAUSA300_RS15370,SAUSA300_RS15370,740.3,296.3,444,1.483,0.6,1.0e-01,4.1e-01,0.2554,1,288,375,226,673,246,413
SAUSA300_RS02685,SAUSA300_RS02685,46,17.7,28.3,1.589,0.7,1.8e-01,4.1e-01,0.2942,1,19,24,10,30,37,18
SAUSA300_RS15205,SAUSA300_RS15205,21907.3,11424.7,10482.7,0.918,-0.1,2.9e-01,4.1e-01,0.3619,1,10509,10502,13263,10462,10489,10497
SAUSA300_RS15340,SAUSA300_RS15340,1615,849.3,765.7,0.902,-0.1,4.1e-01,4.1e-01,0.4101,2,883,767,898,687,841,769
