name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,SRR21835896,SRR21835897,SRR21835898,SRR21835900,SRR21835901,SRR21835899
SAUSA300_RS02685,SAUSA300_RS02685,46,28.7,17.3,0.62,-0.7,2.2e-01,9.7e-01,0.7593,1,30,37,19,10,18,24
SAUSA300_RS15205,SAUSA300_RS15205,21907.3,10486.7,11420.7,1.089,0.1,3.0e-01,9.7e-01,0.7593,2,10462,10489,10509,13263,10497,10502
SAUSA300_RS15370,SAUSA300_RS15370,740.3,402.3,338,0.856,-0.2,5.3e-01,9.7e-01,0.878,3,673,246,288,226,413,375
SAUSA300_RS15100,SAUSA300_RS15100,569,299.7,269.3,0.915,-0.1,7.2e-01,9.7e-01,0.8975,4,434,275,190,247,322,239
SAUSA300_RS15340,SAUSA300_RS15340,1615,803.7,811.3,1.007,0,9.7e-01,9.7e-01,0.9691,5,687,841,883,898,769,767
